doc_id,item,category,amount,price,discount
2226-BE-5,Комплект постельного белья цв. зеленый,Текстиль,14,9266.92,1063.86
2226-BE-5,Кружка мал.,Посуда,5,9170.93,677.6
2226-BE-5,Миска бол.,Посуда,19,9200.4,1265.16
5744-BE-5,Моющий гель 0.75 л.,Бытовая химия,11,5294.62,2079.8
3414-BE-5,Футболка белая дет.,Одежда,2,8254.39,2238.25
3414-BE-5,Средство моющее 0.75 л.,Бытовая химия,16,2720.14,181.38
3414-BE-5,Концентрат очищающий 0.75 л.,Бытовая химия,18,6129.32,2421.19
3414-BE-5,Салатник бол.,Посуда,2,2446.4,386.9
3414-BE-5,Салатник бол.,Посуда,10,8454.3,1995.8
8684-BE-5,Полотенце кухонное цв. черный,Текстиль,1,4884.69,28.2
8684-BE-5,Моющий гель 0.25 л.,Бытовая химия,13,8953.67,2926.41
8684-BE-5,Сковорода бол.,Посуда,5,4814.7,1142.21
8684-BE-5,Комплект постельного белья цв. синий,Текстиль,8,1980.98,872.15
8684-BE-5,Свитер жен.,Одежда,1,3665.24,1223.4
8712-BE-5,Средство моющее 5 л.,Бытовая химия,1,4347.3,1064.84
8712-BE-5,Кастрюля бол.,Посуда,16,5589.63,2641.75
4734-BE-5,Пиджак муж.,Одежда,3,3633.88,637.9
4734-BE-5,Пиджак дет.,Одежда,17,4957.66,1659.97
4734-BE-5,Свитер жен.,Одежда,4,7634.29,2616.74
4734-BE-5,Куртка осенняя жен.,Одежда,7,1233.59,612.29
4734-BE-5,Салатник сред.,Посуда,4,9913.41,4197.13
2251-BE-5,Салатник мал.,Посуда,6,8917.5,1940.75
2251-BE-5,Комплект постельного белья цв. красный,Текстиль,2,7346.22,2477.25
2251-BE-5,Полотенце кухонное цв. зеленый,Текстиль,14,4702.78,1149.26
2251-BE-5,Футболка белая муж.,Одежда,1,3040.54,282.52
1265-BE-5,Салатник сред.,Посуда,4,8933.2,13.1
1265-BE-5,Салатник сред.,Посуда,12,4607.4,1232.34
5750-BE-5,Салатник сред.,Посуда,3,1320.49,9.35
5750-BE-5,Средство моющее 0.75 л.,Бытовая химия,6,4128.48,392.2
5750-BE-5,Свитер жен.,Одежда,5,1612.37,274.84
6640-BE-5,Средство моющее 0.5 л.,Бытовая химия,4,1696.15,490.6
6640-BE-5,Универсальный очиститель 5 л.,Бытовая химия,1,9734.78,4462.48
6640-BE-5,Дезинфицирующий спрей 0.25 л.,Бытовая химия,6,8615.21,2791.56
6640-BE-5,Кастрюля бол.,Посуда,3,3876.43,1497.88
7581-BE-5,Средство моющее 5 л.,Бытовая химия,3,2270.12,914.55
7581-BE-5,Универсальный очиститель 0.5 л.,Бытовая химия,13,5768.83,433.87
7581-BE-5,Полотенце махровое цв. красный,Текстиль,17,9751.7,163.8
7581-BE-5,Кастрюля сред.,Посуда,11,2050.1,449.75
